id,rid,date,rating,text,month
UmV2aWV3OnRlYWwtcG90aW9uLTQ=,teal-potion-4,2023-05-18,5,Unique flavor and great energy boost. It's the perfect gamer's drink!,2023-05
UmV2aWV3OnJlZC1wb3Rpb24tNA==,red-potion-4,2023-05-17,5,Good flavor and keeps me energized. The bottle design is really fun.,2023-05
UmV2aWV3OmRyYWdvbi1wb3Rpb24tNA==,dragon-potion-4,2023-05-16,4,Excellent energy drink for gamers. The tropical flavor is refreshing.,2023-05
UmV2aWV3OmJsdWUtZW5lcmd5LXBvdGlvbi02,blue-energy-potion-6,2023-05-15,5,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2023-05
UmV2aWV3OmNsYXNzaWMtbGVhdGhlci1zbmVha2Vycy0xMA==,classic-leather-sneakers-10,2023-05-15,5,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2023-05
UmV2aWV3OmRhcmstcmVkLXBvdGlvbi00,dark-red-potion-4,2023-05-12,5,The cherry cola flavor is a win. Keeps me energized and focused.,2023-05
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTI=,kids-light-up-sneakers-12,2023-05-10,5,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2023-05
UmV2aWV3Omhpa2luZy1ib290cy1vdXRkb29yLTEy,hiking-boots-outdoor-12,2023-05-01,5,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2023-05
UmV2aWV3OmNhdC1lYXItYmVhbmllLTEw,cat-ear-beanie-10,2023-05-01,4,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2023-05
UmV2aWV3OmJsdWUtZW5lcmd5LXBvdGlvbi01,blue-energy-potion-5,2023-04-25,5,Really enjoyed the citrus flavor and the energy boost it gives.,2023-04
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTE=,kids-light-up-sneakers-11,2023-04-25,3,"Great concept, but the sizing is a bit off. Order a size larger.",2023-04
UmV2aWV3OmNob2NvbGF0ZS1jYW5keS1ib3gtMTA=,chocolate-candy-box-10,2023-04-18,5,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",2023-04
UmV2aWV3Omhpa2luZy1ib290cy1vdXRkb29yLTEx,hiking-boots-outdoor-11,2023-04-12,4,"The boots are durable, but the laces could be better quality.",2023-04
UmV2aWV3OmRyYWdvbi1wb3Rpb24tMw==,dragon-potion-3,2023-04-11,5,This potion is a game changer. Love the energy boost and the flavor.,2023-04
UmV2aWV3Om1lbi1ydW5uaW5nLXNob2VzLTEw,men-running-shoes-10,2023-04-10,5,"Light, comfortable, and nice design. I'm buying another pair.",2023-04
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTA=,kids-light-up-sneakers-10,2023-04-10,5,Highly recommend! These shoes are great for evening walks. Kids love them!,2023-04
UmV2aWV3OnJlZC1wb3Rpb24tMw==,red-potion-3,2023-04-09,4,It's like a health potion for gamers! The energy boost is spot on.,2023-04
UmV2aWV3OnRlYWwtcG90aW9uLTM=,teal-potion-3,2023-04-07,5,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,2023-04
UmV2aWV3OmNsYXNzaWMtbGVhdGhlci1zbmVha2Vycy05,classic-leather-sneakers-9,2023-04-07,3,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,2023-04
UmV2aWV3OmRhcmstcmVkLXBvdGlvbi0z,dark-red-potion-3,2023-04-05,5,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",2023-04
UmV2aWV3OmNhdC1lYXItYmVhbmllLTk=,cat-ear-beanie-9,2023-04-05,5,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,2023-04
UmV2aWV3OmJsdWUtZW5lcmd5LXBvdGlvbi00,blue-energy-potion-4,2023-04-01,4,Great taste and doesn't give me a crash afterwards.,2023-04
UmV2aWV3OndvbWVuLXNhbmRhbHMtMTA=,women-sandals-10,2023-03-25,4,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",2023-03
UmV2aWV3OmNhdC1lYXItYmVhbmllLTg=,cat-ear-beanie-8,2023-03-25,3,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",2023-03
UmV2aWV3Omhpa2luZy1ib290cy1vdXRkb29yLTEw,hiking-boots-outdoor-10,2023-03-24,4,"Good quality and comfortable, but a bit pricey.",2023-03
UmV2aWV3OmNob2NvbGF0ZS1jYW5keS1ib3gtOQ==,chocolate-candy-box-9,2023-03-20,4,"The orange flavor wasn't my favorite, but the cherry ones are great.",2023-03
UmV2aWV3OnJlZC1wb3Rpb24tMg==,red-potion-2,2023-03-20,5,"Not only does it look cool, but it tastes great and gives a good energy boost!",2023-03
